"Action","Page","Title","Section","FileName"
"Would add to existing page","mickey-mouse-grin.html","Mickey Mouse Grin","Digitized Versions","Mickey Mouse Grin left side COLOR.jpg"
"Would add to existing page","mickey-mouse-grin-2.html","Mickey Mouse Grin 2","Digitized Versions","Mickey Mouse Grin 2 B&W.jpg"
"Would add to existing page","mickey-mouse-grin-flying.html","Mickey Mouse Grin Flying","Digitized Versions","Mickey Mouse Grin Flying B&W.jpg"
"Would add to existing page","mickey-mouse-grin-flying.html","Mickey Mouse Grin Flying","Digitized Versions","Mickey Mouse Grin Flying COLOR.1.jpg"
"Would add to existing page","mickey-mouse-grin-flying.html","Mickey Mouse Grin Flying","Digitized Versions","Mickey Mouse Grin Flying COLOR.jpg"
"Would add to existing page","mishka-eyeball-grin.html","Mishka Eyeball Grin","Digitized Versions","Mishka Eyeball Grin B&W.jpg"
"Would add to existing page","modzilla-grin.html","Modzilla Grin","Digitized Versions","Modzilla Grin Front B&W.jpg"
"Would add to existing page","modzilla-grin.html","Modzilla Grin","Digitized Versions","Modzilla Grin Side B&W.jpg"
"Would add to existing page","mogul-grin.html","Mogul Grin","Digitized Versions","Mogul Grin B&W.jpg"
"Would add to existing page","mogul-grin.html","Mogul Grin","Digitized Versions","Mogul Grin back B&W.jpg"
"Would add to existing page","mogul-grin.html","Mogul Grin","Digitized Versions","Mogul Grin back COLOR.jpg"
"Would add to existing page","mogul-grin.html","Mogul Grin","Digitized Versions","Mogul Grin right side B&W.jpg"
"Would add to existing page","mogul-grin.html","Mogul Grin","Digitized Versions","Mogul Grin right side COLOR.jpg"
"Would add to existing page","mogul-grin-standing.html","Mogul Grin Standing","Digitized Versions","Mogul Grin Standing B&W.jpg"
"Would add to existing page","monkey-grin-mouth.html","Monkey Grin Mouth","Digitized Versions","Monkey Grin Mouth B&W.jpg"
"Would add to existing page","monkey-shiner-angel-grin.html","Monkey Shiner Angel Grin","Original Drawing","Monkey Shiner Angel Grin ORINGINAL (1).jpg"
"Would add to existing page","monkey-shriner-grin.html","Monkey Shriner Grin","Digitized Versions","Monkey Shriner Grin COLOR.jpg"
